Name,Age,Gender,Hours_Studied,IQ,Physics_Marks,Math_Marks,Chemistry_Marks,Has_Part_Time_Job,Study_Hours_Group
Daniel Acevedo,23,Female,4.010751981972464,131,65,59,81,False,Low
Scott Adams,21,Female,9.838910679341405,131,93,83,49,True,High
Heidi Castro,19,Female,1.0206129664941774,81,64,79,91,False,Low
Adam Wheeler,36,Male,8.733128179251665,104,78,75,51,False,High
Barry Green,44,Male,9.811913476945358,97,40,94,92,False,High
Joshua Rios,43,Female,2.2807375036175044,140,74,89,96,True,Low
Jason Ramirez,41,Female,4.170134130759689,127,75,60,70,True,Low
Scott Sims,28,Female,5.695488262633894,85,65,53,69,False,High
Vanessa Rios,31,Male,4.7657135594256,144,67,83,54,False,Low
Bradley Parks,34,Male,3.5998564901034373,108,68,41,79,True,Low
William Lewis,21,Female,5.105126178172874,118,43,60,54,True,High
Joshua Kennedy,45,Male,2.246960875853471,91,97,55,100,False,Low
Shelly Hobbs,35,Male,3.7975610529085233,82,69,98,99,True,Low
Angela Kline,26,Male,9.333078011213745,110,41,87,86,True,High
Christopher Campbell,23,Female,9.592448456718044,138,54,66,70,True,High
Kara Bryant,23,Female,7.732821189383751,126,55,48,82,True,High
Terry Evans,33,Male,1.1342010982045543,103,96,43,43,False,Low
Brian House,24,Female,6.9225635104203604,115,72,91,64,False,High
Claudia Harris,20,Male,3.72552366743538,90,64,47,68,True,Low
Justin Harris,28,Male,9.718104719397427,91,73,68,96,False,High
Diane Moran,33,Female,1.6879916433116275,86,57,52,98,True,Low
David Kelley,35,Male,8.231121184951473,102,40,73,54,True,High
James Cortez,36,Female,8.073530601988933,87,86,64,42,True,High
Donald Simpson,28,Female,7.763847587641134,93,86,47,51,True,High
Francisco Ramirez,27,Female,8.3545806878352,98,87,57,92,False,High
Benjamin Singleton,23,Female,8.999038440436667,146,91,86,95,True,High
Christina Stanley,44,Male,2.1336492305267285,110,90,63,64,False,Low
Timothy Daniel,38,Female,9.806385499219736,122,97,100,81,True,High
Charles Hensley,42,Female,8.640266984247425,101,83,91,72,True,High
James Gilbert,21,Male,1.6909131013160699,110,91,64,94,True,Low
Elizabeth Newton,18,Male,4.919037515619262,144,42,62,79,False,Low
William Chang,20,Female,4.061471782182959,94,84,62,90,True,Low
Jeffrey Wright,29,Male,6.726581978566463,113,73,97,79,False,High
Lindsay Farrell,42,Male,9.704917039533921,138,63,74,59,True,High
Danielle Blackwell,23,Male,9.197163782315176,127,77,59,51,False,High
Katherine Frank PhD,18,Female,8.916394767152662,82,42,62,70,False,High
Cindy Nichols,29,Male,2.675636929845171,131,97,45,92,False,Low
Russell Garrison,31,Female,4.77351097714411,140,92,76,70,True,Low
Felicia Abbott,23,Female,8.67092497358384,88,53,67,75,False,High
Mary Keller,40,Male,4.535748356928188,113,63,78,60,False,Low
Carmen Smith,44,Male,6.386438278827219,140,46,53,59,True,High
Jessica Richardson,21,Female,4.470299266514811,81,45,51,81,True,Low
William Banks,30,Male,5.830751230238345,96,65,95,67,False,High
Christopher Patel,22,Female,7.559535600718007,103,55,71,46,False,High
Erin Martinez,23,Male,1.8828932630466504,142,100,44,67,True,Low
Brooke Ballard,20,Female,4.300468134132579,101,87,77,96,False,Low
Andrew Ball,38,Male,4.649451515941282,117,57,55,95,True,Low
Jessica Townsend,36,Female,6.775925939278516,86,83,100,44,True,High
Logan Perez,43,Female,5.505098196429376,89,47,89,82,False,High
Reginald Huynh,22,Male,9.577915813002768,108,94,61,73,False,High
Jessica Sandoval,34,Male,4.645938033002025,85,69,55,45,False,Low
Brian Burns,30,Male,1.3706253136765776,105,98,79,85,True,Low
Patricia Garcia,37,Female,5.3898801364947,129,93,52,100,False,High
Pamela Moore,23,Female,2.7394744079919033,132,83,40,90,False,Low
Nicholas Wilcox,38,Male,9.834704502695642,124,74,52,93,False,High
Michael Sweeney,24,Female,1.5073353297623826,134,55,60,86,True,Low
Emma Fowler DDS,38,Male,2.3065387945145037,119,81,83,58,True,Low
Matthew Martin,26,Male,8.581720906145057,137,67,51,93,True,High
Michael Johnson,37,Male,6.7315888687191565,110,47,88,53,True,High
Sarah Rose,18,Male,1.2266532857856927,121,42,74,55,False,Low
Kayla Schwartz,19,Male,9.62437117973242,124,48,93,88,True,High
Riley Fields,43,Female,4.338397145722503,146,46,59,80,False,Low
Emily Davis,33,Female,5.718820981864809,119,100,63,72,True,High
Briana Hanson,22,Male,4.96955159945081,90,46,84,65,False,Low
Raymond Mitchell,33,Female,2.1176334933394205,100,63,55,63,True,Low
David Edwards,32,Female,3.100160749531768,136,96,58,43,True,Low
James Gonzales,20,Female,1.5294747913648132,123,97,65,40,True,Low
Stephanie Thompson,44,Male,3.822621792484684,116,80,49,68,True,Low
Ryan Ward,26,Female,4.2567503110585445,116,91,54,48,False,Low
Amanda Ramos,26,Male,4.243487557317622,111,93,55,81,True,Low
Nathan Simmons,38,Female,8.019299685850973,108,50,88,40,False,High
Kenneth Gutierrez,42,Male,1.5791928323055546,115,90,77,43,False,Low
Thomas Jones,23,Male,4.262848751460929,150,96,92,95,True,Low
Theresa Smith,37,Female,7.169249164361517,121,60,59,72,False,High
Brandon Rogers DDS,35,Male,1.48332862927167,117,42,74,44,False,Low
Patricia Jennings,22,Female,3.779138108024039,94,88,43,49,True,Low
Anne Dominguez,43,Female,1.196973584537739,126,100,49,42,False,Low
Dana Taylor,20,Female,4.079553136823515,100,82,57,92,False,Low
Makayla Wyatt,32,Female,5.7905923203229115,150,41,99,96,True,High
Ashley Santos,27,Female,7.4414606867752235,83,100,67,72,False,High
Michael Mcintyre,29,Male,2.733225192770216,94,47,83,79,False,Low
Randy Campbell,38,Female,1.1160535664741178,138,78,73,40,False,Low
Christopher Young,24,Male,4.1479229214347235,101,43,99,60,True,Low
Danny Robertson,30,Male,4.132794958679465,145,96,69,71,True,Low
Matthew Lopez,26,Female,7.1336509155175145,115,54,51,50,True,High
Amber Guzman,24,Male,9.927672963855306,81,68,56,68,True,High
Christian Rodriguez,45,Male,7.700197814352001,149,44,57,95,True,High
Jacob Turner,25,Male,4.1771687055952,125,82,98,81,True,Low
Keith Singleton,19,Female,1.8696206240200244,99,79,46,43,False,Low
Samantha Velez,27,Female,4.458751949221891,135,52,44,44,True,Low
Jorge Wilson,35,Female,6.973730798893842,115,46,65,91,False,High
Jerry Reyes,25,Female,7.9769098982440205,82,48,70,69,False,High
Christopher Garcia,39,Female,7.024298352460734,136,84,61,40,False,High
Misty Olson,21,Male,5.5638260253336975,83,53,43,73,False,High
Nicholas Jimenez,27,Female,8.734981137571591,121,59,82,89,True,High
Henry Callahan,19,Male,7.958207737347724,95,67,93,90,False,High
Arthur Pierce,42,Female,5.934797696839915,146,88,53,99,False,High
Vernon Beck,42,Female,7.268614896307189,106,97,68,83,False,High
Mark Rivera,32,Female,3.7547002454033866,143,100,40,80,False,Low
Sean Morgan,35,Male,8.299632887134429,146,96,48,67,True,High
Chris Russell,35,Male,2.227710813455782,136,71,99,72,False,Low
Bill Marsh,33,Female,5.913222990514879,133,73,85,94,False,High
William Osborne,36,Female,8.353092984104011,148,74,75,82,False,High
Thomas Parker,34,Female,8.448449840534558,114,47,46,97,True,High
Renee Cooke,35,Male,7.237339111012262,136,65,57,59,False,High
Joseph Garcia,35,Male,9.77663383462673,94,80,79,50,False,High
Wendy Griffith,27,Female,5.561306684637302,86,78,40,58,False,High
John Cline,30,Male,3.6703413497311645,114,58,91,44,False,Low
Jessica Torres,21,Male,1.1803487993019595,94,100,83,69,False,Low
Susan Church,20,Female,5.212858704697666,111,99,69,85,False,High
John Acosta,24,Female,6.624062447136858,102,73,56,56,True,High
Richard Koch,39,Female,3.8959805270869743,103,89,47,90,False,Low
Patricia Reynolds,20,Female,5.548546329629212,133,62,79,52,True,High
Gary Holland,22,Male,8.439748666921531,137,99,81,83,False,High
Robert Waters,19,Male,2.7490732269234073,122,67,84,42,True,Low
Lisa Rowland,33,Male,7.164722932549215,108,60,99,91,True,High
Frederick Matthews,25,Female,1.360621839321019,87,63,64,76,False,Low
Austin Nguyen,27,Female,3.020852406798921,108,71,72,43,True,Low
Randy Williams DDS,25,Female,1.5419107942898889,92,41,42,83,False,Low
Kevin Glover,29,Male,2.3400565588371594,92,42,82,99,False,Low
Dr. Phillip Bennett MD,29,Female,6.2958857858043595,136,49,67,89,False,High
Lauren Peterson,38,Male,5.063286764711829,111,42,87,94,False,High
Miss Katie Christian,37,Female,8.417679882144228,126,70,66,58,True,High
Anna Chapman,38,Female,9.288908942788671,140,66,48,41,True,High
Nicholas Mccoy,27,Male,6.659323872384651,144,52,81,52,True,High
Brandon Decker,37,Male,5.941863182690654,90,77,52,46,False,High
Jacqueline Myers,22,Female,6.637718609275069,122,80,94,97,True,High
Emma Ruiz,23,Female,9.20823864716768,107,84,63,85,True,High
Nicole Duarte,29,Female,8.560479645249934,126,91,55,53,True,High
Erika Rosales,25,Male,2.772954508625538,98,64,88,87,False,Low
Danielle Adams,23,Female,5.310556436071605,134,84,92,79,True,High
Kevin Phillips,33,Male,4.794030842397211,150,41,52,74,True,Low
Jeremy Rodriguez,36,Female,5.80006963727843,86,96,75,95,True,High
Keith Jordan,24,Female,7.755373371068179,123,62,98,60,True,High
Kelly Ashley,35,Male,2.0536566776932896,80,62,81,71,True,Low
Mark Fitzpatrick,41,Male,1.9084072963257506,128,65,62,49,True,Low
Tamara Yoder,20,Female,5.543004197376414,127,55,67,40,False,High
Wendy Wilson MD,42,Male,9.556209587889661,149,77,44,60,False,High
Rachel Wood,32,Male,8.305274591423725,93,55,53,89,False,High
Karen Lopez,22,Female,4.793369188499165,82,62,46,64,True,Low
Laura Wilson,25,Male,4.957277513386723,144,64,97,73,False,Low
John Carter,32,Male,4.2403022728158035,106,79,67,88,False,Low
Monica Price,45,Female,4.240513223986929,109,53,67,67,False,Low
Tina Coleman,40,Male,9.99126110639365,125,46,94,87,True,High
Jessica Farmer,43,Male,3.5278486798297335,92,52,80,40,False,Low
Kristopher Russo,45,Female,8.745692166459953,90,74,87,84,True,High
Michael Mcgee,22,Male,8.146147228210191,132,44,53,100,False,High
Tina Green,26,Male,1.6414701646311114,134,41,53,80,False,Low
Justin Fernandez,19,Male,7.960653089090223,93,98,95,63,False,High
Jeffrey Christian,40,Male,5.776656508807829,133,47,58,77,True,High
David Brown,24,Male,6.147730771627742,100,41,43,79,False,High
Mikayla Brown,42,Male,3.2230642304681623,139,79,42,46,False,Low
Mr. Jerry Cochran,39,Female,1.0809857369829656,102,69,58,46,False,Low
John Larson,18,Female,3.8102392839906205,145,99,92,46,False,Low
Audrey Williams,24,Male,9.206685621845336,110,89,57,52,False,High
Samantha Wells,30,Female,1.9423356250767059,83,50,76,87,False,Low
John Wallace,31,Female,7.769656517629137,120,91,91,95,True,High
Connie Moore,32,Female,7.34849605246534,116,98,77,48,False,High
Kaitlin Thompson,28,Male,3.3268027373359934,97,63,97,73,False,Low
Nicole Cortez,19,Female,5.258478935619502,100,60,58,70,True,High
Sean Farley,42,Female,1.7791725623704653,105,54,69,79,True,Low
John Clark,25,Female,5.873808545870649,94,80,93,47,True,High
Stephen Pacheco,34,Male,3.887470596127529,146,97,54,68,True,Low
James Anderson,24,Male,7.123599434915425,114,56,97,62,True,High
Darius Walker,27,Male,6.804416370389513,87,72,88,60,True,High
Keith Gomez,44,Male,9.868252246356235,108,51,59,60,True,High
Robert Miller,30,Male,9.534826882351616,111,87,67,52,True,High
Christopher Boyd,20,Female,8.232550802198396,110,66,52,94,False,High
Ryan Spence,31,Male,6.237484722030272,87,87,57,65,True,High
Noah Dennis,25,Female,3.6800206528600494,104,90,82,68,True,Low
Nicole Pace,26,Male,7.250311019592774,114,43,99,74,False,High
Jeffery Long,23,Female,3.1940351395975606,80,47,57,63,True,Low
Jay Davis,42,Male,4.689112204482424,121,84,58,70,True,Low
Lawrence Wright,42,Male,3.337499610005389,140,88,47,48,False,Low
Jeremy Harmon,36,Male,4.097900647924288,121,97,76,65,False,Low
Gabriel Nolan,23,Male,5.98861981639606,119,78,52,54,False,High
Michael Roberts,40,Male,7.7287778643554725,143,61,61,87,True,High
Grace Patterson,38,Female,2.37579568104596,118,90,57,76,True,Low
Misty Brooks,18,Male,2.978916924523626,126,66,49,75,True,Low
Robert Mason,40,Female,9.319268423317531,82,68,77,72,True,High
Yolanda Howard,45,Female,8.690485049645009,82,63,69,52,True,High
Jody Alvarez,35,Female,5.335361692115567,142,86,92,95,True,High
Micheal Allen,29,Male,1.2006432953414392,106,100,71,72,False,Low
Gary Boyd,27,Male,8.280358722968092,90,100,82,92,False,High
Jessica Smith,20,Male,4.725149932305672,124,95,96,50,False,Low
Steve Phillips,23,Male,2.8448865453904872,87,71,42,78,True,Low
Eric Smith,25,Male,6.844146139306746,86,57,87,59,True,High
Angela Huffman,19,Male,7.578065644410262,97,57,88,55,True,High
William Martinez,25,Male,6.493977291140034,107,54,90,47,False,High
James Mason,44,Male,9.880507639950292,135,43,53,41,True,High
Jonathan Burke,34,Female,6.113248181503798,123,72,90,100,False,High
Teresa Simpson,40,Male,7.829874855632231,99,42,45,97,True,High
Nicolas Shepard,31,Male,6.99943995279687,113,53,42,94,False,High
Luke Mora,41,Male,8.732532953861853,91,40,98,80,False,High
Heather Rodriguez,22,Female,6.347295716691955,126,51,54,100,False,High
Robert Martin,22,Female,1.2480294084023225,137,64,78,40,True,Low
Dr. Robert Chavez,36,Female,6.855858395535591,123,87,81,65,True,High
Jessica Ryan,40,Male,8.29231294286991,120,83,46,66,True,High
Kimberly Harris,25,Female,9.163084367212088,114,98,97,48,False,High
Melissa Wyatt,18,Female,7.178900789519497,103,78,42,88,False,High
Andre Woods,38,Male,6.307054973652152,82,52,64,70,True,High
Christopher Anderson,25,Male,1.1953734526841135,130,76,81,42,False,Low
Ashley Conrad,30,Male,7.657903082234802,134,94,93,70,False,High
Bryan Richardson,21,Male,8.287757663627378,144,85,95,71,True,High
Scott Clark,24,Male,1.0932239140693019,81,47,85,90,False,Low
Kimberly Campbell,37,Male,1.7558391335889347,117,42,100,40,False,Low
Sheila Potts,44,Female,2.4786515393759774,89,43,68,94,False,Low
Mr. David Gordon,37,Male,8.074354716261322,104,50,60,60,False,High
Anna Diaz,41,Female,9.308802493264242,105,42,48,81,False,High
Robert Johnson,23,Female,6.646554671823058,131,84,96,76,True,High
Misty Sutton,19,Female,6.885683901221366,87,95,44,98,True,High
Tiffany Powers,35,Female,5.844255093716204,117,83,82,73,False,High
Monica Rogers,29,Female,4.20075473481318,143,52,87,91,True,Low
Jennifer Lopez,31,Male,6.396383483784603,122,72,56,69,True,High
Kayla Sims,41,Female,6.673740416040548,96,55,74,48,False,High
Devon Moss,44,Female,6.423311383830188,120,80,54,57,True,High
Mason Collins,44,Male,3.133991983294712,128,62,88,66,False,Low
Juan Vasquez,24,Male,5.93848075741484,135,42,79,52,True,High
Stacy Fischer,35,Male,9.022033876967392,88,71,40,62,True,High
Aaron Williams,29,Male,1.7447936495474163,134,40,72,98,True,Low
Crystal Kirby,22,Male,3.8120510984606706,135,96,86,47,False,Low
Robert Wyatt,24,Male,9.51608654394449,124,51,49,98,True,High
Brian Marshall,22,Female,2.26142574986157,90,60,97,81,False,Low
Raymond Hammond,29,Female,9.578242443569897,119,54,95,90,True,High
David Chung,30,Male,9.478893651810155,82,66,79,100,True,High
Randy Russo,30,Female,9.247159109173086,90,49,63,66,True,High
Denise Richards,28,Female,2.3862421217714043,127,80,71,83,True,Low
Kenneth Guerrero,43,Female,8.417413637213928,147,99,48,99,True,High
Emily Reed,39,Female,5.915846742447319,145,44,75,84,False,High
William Hopkins,25,Female,1.4894681789263813,95,64,90,85,True,Low
Michael White,33,Female,3.980631010507293,93,90,61,94,True,Low
William Hendrix,18,Male,8.406888711395677,125,50,48,75,True,High
Christopher Stanley,23,Female,4.823617188310088,82,67,54,85,True,Low
Steven Smith,30,Male,8.46157363921335,113,83,67,74,False,High
Joy Bentley,36,Female,7.236213862992096,87,99,97,82,False,High
Sheri Stephens,35,Male,3.7874644068879255,131,70,68,67,True,Low
Daniel Hubbard,38,Female,7.438592329952311,100,60,90,84,True,High
Timothy Summers,38,Male,9.797260683721749,106,75,50,49,False,High
Kenneth Callahan,43,Female,6.080749937452431,125,50,58,72,False,High
Louis Schultz,24,Female,7.634193143836638,81,78,69,88,False,High
Tyler Goodman,29,Female,5.46134998417003,97,67,94,99,False,High
Andrew Koch,25,Female,6.642152747397939,132,89,45,96,True,High
Crystal Herrera,26,Female,8.567663903804632,124,53,94,93,False,High
Jeffrey Cole,45,Female,4.255837089241682,138,61,77,58,True,Low
Kristin Farley,24,Female,7.617607475977571,127,63,64,72,False,High
Patricia Gonzales,30,Male,5.509509758023334,105,75,71,98,False,High
William Johnson,33,Male,7.47144496731653,93,47,67,76,True,High
Mia Jones,18,Female,3.735590605117256,112,94,81,47,False,Low
Donald Freeman,39,Female,3.3442127714271663,98,77,94,47,True,Low
Luke Taylor DDS,44,Male,2.192276195005187,147,65,43,82,True,Low
Riley Landry,44,Female,4.27043818595649,132,61,83,80,True,Low
David Holmes,33,Female,3.4346288076180085,84,87,59,87,True,Low
George Parrish,27,Female,7.364278784818145,114,43,62,95,True,High
Jennifer Sanchez,42,Female,3.040804150252679,138,55,88,64,False,Low
Amanda Anthony,40,Male,6.634015977387701,90,59,59,75,False,High
Curtis Taylor,38,Female,2.76846388973727,102,41,53,92,False,Low
Oscar Spencer,37,Male,6.205131306021692,129,85,83,73,True,High
David Gutierrez,26,Male,2.2347776582361547,121,92,45,97,True,Low
Stacy Knight,39,Male,6.324160077799572,119,75,98,82,True,High
Michael Miller,29,Male,7.305689889724221,94,41,73,84,True,High
Michael Weber,19,Male,2.9471338530453792,123,48,41,96,True,Low
Raymond Porter,19,Female,2.4365697163337803,146,67,56,50,True,Low
Samantha Miller,20,Female,4.754420360726661,147,64,57,89,True,Low
Kendra Logan,32,Female,6.4034531061045765,142,49,89,59,True,High
Danny Simmons,44,Male,4.628806755405892,122,72,78,65,True,Low
Catherine Hunt,44,Male,7.929747436840117,85,78,63,83,False,High
Mr. Edward Love MD,28,Female,7.816635019793271,87,48,48,82,True,High
Tracy Johnson,35,Female,9.756906475271172,90,61,52,65,False,High
Matthew Bates,45,Female,1.8261127017923062,115,40,63,76,False,Low
Donna Sanders,41,Female,3.6661654015500735,93,57,88,79,True,Low
Shelby Martinez MD,29,Female,7.041189677631624,88,40,99,72,False,High
Ryan Green,43,Female,3.621723207989706,111,54,73,82,False,Low
Betty Williams,40,Female,3.9410749610455222,149,50,88,60,False,Low
Elizabeth Mckinney,19,Female,8.644882170996846,119,60,79,70,True,High
Rhonda Young,25,Male,1.8800164717600536,119,83,84,54,True,Low
Sherri Weber,37,Female,3.8497401307018104,136,98,54,78,True,Low
John Grant,36,Female,6.817290211449245,140,100,94,70,True,High
James Valentine,29,Male,7.319579062814887,129,63,86,51,False,High
Kevin Martin,37,Male,7.162501046540633,146,92,56,60,True,High
Thomas Cannon,39,Female,3.452930790121506,93,65,85,74,True,Low
Michael Willis,32,Male,7.1949745892889645,139,90,72,49,False,High
Henry Murphy,42,Male,1.6707335135812467,142,43,52,83,False,Low
Amy Gaines,45,Female,8.63395852055109,106,49,48,45,True,High
Cynthia Bentley,22,Male,5.711977463309627,117,87,85,40,True,High
Heather Dyer,35,Male,2.0129313165196425,103,75,86,91,True,Low
Jennifer Mckay,23,Male,2.787243490793879,128,57,60,65,False,Low
Tammy Barber,19,Female,2.377035248397357,104,49,45,50,True,Low
Elizabeth Newman,40,Female,5.090706987152663,130,91,63,91,True,High
Jack Pacheco,39,Female,4.591923122144548,132,49,42,69,False,Low
Nathan Thomas,32,Male,9.808124339493412,146,74,47,65,False,High
Patrick Gregory,43,Male,7.271146038742218,131,68,57,50,True,High
Daniel Holland,18,Male,4.775079109885995,125,91,67,49,True,Low
Dawn Wright,26,Female,1.8428329968216868,82,94,81,81,False,Low
Joanne Sanchez,22,Female,1.9227424777315838,128,71,85,60,True,Low
Richard Brown,31,Female,3.434172659553536,132,85,56,93,False,Low
Amanda Cole,19,Male,1.6089214186353806,122,43,96,99,False,Low
Janet Gonzalez,27,Female,9.68035573842046,130,40,58,70,True,High
Nathan Oliver,37,Female,3.3193481811591425,87,58,53,87,True,Low
Joseph Barnes,28,Female,7.5014535172000345,97,41,45,68,True,High
